id,fish_name,betta_tail_type,number_of_colours,fish_length,origin,scale_cleanliness,fin_condition,competition_status
61,Dianne,Halfmoon,2,4.92,Thailand,80.8,Excellent,Win
62,Vincents,Crown,4,5.5,Thailand,69.26,Excellent,Win
63,Leonhard,Halfmoon,2,5.94,India,22.67,Poor,Lose
64,Bridie,Halfmoon,1,6.35,Vietnam,68.88,Excellent,Win
65,Davin,Halfmoon,2,6.92,Indonesia,0.21,Poor,Win
66,Dorie,Halfmoon,4,4.41,India,29.47,Untidy,Lose
67,Betteann,Crown,5,6.65,Thailand,54.71,Excellent,Win
68,Trace,Rose,2,5.95,Thailand,62.06,Excellent,Lose
69,Aundrea,Crown,4,6.12,Thailand,53.53,Good,Win
70,Christian,Crown,3,4.97,Thailand,38.57,Poor,Win
71,Van,Rose,3,6.63,Thailand,69.71,Good,Lose
72,Siouxie,Plakat,2,6.01,Vietnam,79.75,Excellent,Win
73,Nahum,Plakat,4,3.7,Indonesia,5.24,Untidy,Lose
74,Ravid,Rose,2,5.49,India,4.79,Poor,Win
75,Alain,Crown,5,6.03,Thailand,87.81,Excellent,Win
76,Millard,Spade,3,4.53,Vietnam,13.78,Excellent,Lose
77,Bianka,Spade,5,5.26,Vietnam,3.65,Good,Win
78,Eleanora,Spade,5,4.32,India,33.23,Untidy,Lose
79,Reinald,Spade,4,3.7,Indonesia,18.04,Excellent,Lose
80,Addy,Plakat,1,4.66,Indonesia,20.96,Poor,Lose
81,Aeriell,Crown,3,7.04,Indonesia,11.02,Poor,Lose
82,Jud,Halfmoon,3,4.05,India,23.6,Poor,Lose
83,Lavina,Halfmoon,2,5.62,Vietnam,75.18,Good,Win
84,Lizette,Halfmoon,5,5.54,Vietnam,35.92,Good,Lose
85,Elbertina,Crown,2,5.83,Vietnam,61.58,Excellent,Lose
86,Reynard,Spade,4,4.65,Vietnam,34.83,Excellent,Win
87,Pat,Spade,2,5.35,India,97.17,Untidy,Lose
88,Russ,Plakat,2,4.0,Thailand,82.73,Untidy,Lose
89,Jessamine,Halfmoon,3,4.69,India,36.66,Poor,Lose
90,Shae,Spade,1,6.31,Thailand,82.79,Excellent,Win
91,Alverta,Spade,5,4.07,India,4.54,Poor,Lose
92,Calla,Spade,2,3.9,Thailand,33.0,Excellent,Lose
93,Nick,Spade,4,3.85,India,1.43,Untidy,Lose
94,Dagny,Plakat,3,5.37,Thailand,89.99,Good,Win
95,Korella,Rose,4,5.94,Vietnam,60.95,Good,Win
96,Sadella,Halfmoon,2,6.84,Indonesia,19.12,Poor,Lose
97,Thoma,Crown,1,6.44,Vietnam,79.92,Good,Win
98,Clevie,Plakat,4,5.6,Vietnam,98.79,Excellent,Win
99,Omero,Halfmoon,2,5.94,Thailand,74.09,Good,Win
100,Thornton,Spade,1,6.11,Thailand,71.78,Excellent,Win
101,Barde,Crown,5,6.5,Indonesia,10.79,Excellent,Lose
102,Hamel,Plakat,3,4.09,Vietnam,30.31,Excellent,Win
103,Ursulina,Spade,2,6.52,Indonesia,32.52,Untidy,Lose
104,Gerry,Rose,3,3.86,India,5.36,Poor,Lose
105,Kelby,Plakat,3,4.73,Thailand,32.64,Good,Win
106,Chanda,Spade,3,5.12,Indonesia,28.92,Untidy,Win
107,Carr,Crown,2,6.24,Indonesia,19.94,Untidy,Lose
108,Lebbie,Rose,4,3.81,Thailand,32.9,Excellent,Win
109,Ty,Rose,5,4.77,India,5.52,Untidy,Lose
110,Tomlin,Plakat,1,4.69,Vietnam,98.17,Untidy,Win
111,Nappie,Plakat,5,6.02,Vietnam,14.56,Poor,Lose
112,Crysta,Crown,3,6.08,India,9.28,Poor,Lose
113,Peria,Rose,4,4.89,Vietnam,53.71,Good,Win
114,Vic,Spade,2,4.77,Thailand,55.48,Untidy,Win
115,Angeline,Spade,1,6.14,Vietnam,51.56,Untidy,Win
116,Janaya,Plakat,4,6.84,Thailand,82.8,Excellent,Win
117,Tiffani,Halfmoon,2,3.98,Vietnam,48.48,Poor,Lose
118,Andriette,Halfmoon,5,5.03,India,58.16,Poor,Lose
119,Mandie,Rose,5,3.63,Indonesia,38.84,Untidy,Lose
120,Lorilyn,Spade,2,5.5,Indonesia,88.32,Excellent,Win
121,Jaclyn,Plakat,2,6.34,India,20.49,Good,Lose
122,Newton,Crown,3,5.57,Vietnam,83.75,Good,Lose
123,Maison,Spade,2,3.91,Indonesia,67.24,Excellent,Lose
124,Alasdair,Halfmoon,5,4.02,Thailand,31.02,Excellent,Win
125,Clementia,Rose,2,4.77,Thailand,79.47,Good,Win
126,Curry,Crown,1,4.52,India,24.47,Untidy,Lose
127,Benyamin,Spade,1,6.82,Thailand,73.22,Excellent,Win
128,Thomas,Plakat,1,5.14,Thailand,99.24,Excellent,Win
129,Sandra,Crown,5,6.46,Vietnam,89.95,Good,Win
130,Corilla,Spade,2,5.99,Indonesia,14.89,Poor,Lose
131,Saree,Spade,4,4.68,India,11.12,Untidy,Lose
132,Lola,Crown,3,5.39,Thailand,69.62,Untidy,Win
133,Amory,Halfmoon,4,3.6,India,47.56,Untidy,Lose
134,Kale,Halfmoon,1,5.38,Thailand,69.36,Excellent,Win
135,Jedidiah,Plakat,2,3.57,Indonesia,19.54,Poor,Lose
136,Candi,Rose,5,5.35,India,19.66,Poor,Win
137,Orville,Halfmoon,4,4.73,India,1.45,Untidy,Lose
138,Valery,Plakat,1,5.62,India,56.34,Excellent,Win
139,Paquito,Crown,5,6.28,Indonesia,0.13,Poor,Lose
140,Tresa,Rose,2,5.08,Vietnam,37.37,Good,Win
141,Ange,Rose,5,3.87,Thailand,44.07,Excellent,Win
142,Kittie,Plakat,4,5.93,Thailand,76.73,Excellent,Win
143,Tadio,Rose,1,3.58,Indonesia,84.83,Poor,Win
144,Veronique,Spade,1,6.88,Indonesia,45.26,Untidy,Lose
145,Heddi,Plakat,3,3.92,Vietnam,46.62,Excellent,Win
146,Melloney,Crown,3,5.25,Vietnam,93.85,Excellent,Win
147,Farly,Rose,1,3.62,Indonesia,33.32,Good,Lose
148,Davie,Crown,2,6.25,Indonesia,2.0,Poor,Lose
149,Alfie,Halfmoon,4,5.95,India,67.99,Good,Win
150,Charin,Rose,5,3.69,India,10.21,Poor,Lose
151,Delmore,Crown,1,4.01,Vietnam,36.04,Excellent,Win
152,Wiley,Plakat,3,5.29,Thailand,92.04,Good,Win
153,Lucais,Plakat,5,6.36,India,14.18,Poor,Lose
154,Mario,Halfmoon,4,6.59,Thailand,58.08,Excellent,Win
155,Van,Halfmoon,1,4.9,Thailand,99.26,Good,Win
156,Rorie,Rose,5,4.74,Thailand,52.7,Excellent,Win
157,Carlin,Plakat,1,5.51,Thailand,81.76,Good,Win
158,Genni,Spade,4,4.58,Thailand,74.3,Good,Lose
159,Kory,Crown,1,4.35,India,56.41,Untidy,Lose
160,Feodor,Spade,4,7.0,India,6.14,Untidy,Lose
161,Feliks,Plakat,1,6.48,Thailand,63.3,Good,Win
162,Sheri,Rose,2,3.85,India,29.74,Untidy,Lose
163,Maryanna,Crown,4,3.79,India,28.41,Untidy,Lose
164,Ellyn,Spade,1,6.89,India,17.16,Poor,Lose
165,Anatollo,Spade,2,3.91,Thailand,35.54,Excellent,Win
166,Blanca,Halfmoon,4,6.83,Thailand,68.69,Good,Win
167,Gauthier,Halfmoon,3,6.9,Indonesia,18.96,Poor,Lose
168,Jeni,Plakat,4,5.56,India,19.22,Untidy,Lose
169,Stewart,Spade,2,3.96,Vietnam,1.6,Untidy,Lose
170,Vevay,Crown,4,3.8,Indonesia,13.68,Untidy,Lose
171,Chuck,Crown,1,3.55,India,19.65,Untidy,Lose
172,Lissa,Rose,4,6.71,Indonesia,21.49,Poor,Lose
173,Dion,Spade,1,4.54,India,9.52,Untidy,Lose
174,Blair,Halfmoon,2,5.88,Thailand,58.75,Excellent,Win
175,Sella,Halfmoon,3,4.73,Thailand,47.14,Good,Win
176,Elora,Spade,4,6.69,Indonesia,11.75,Untidy,Lose
177,Sasha,Halfmoon,4,6.81,Indonesia,78.41,Good,Win
178,De witt,Halfmoon,5,4.64,Thailand,56.11,Excellent,Win
179,Elfrieda,Rose,1,3.5,Indonesia,39.48,Poor,Lose
180,Meredithe,Rose,5,3.78,India,27.05,Untidy,Lose
181,Sigrid,Spade,5,4.85,India,23.23,Poor,Lose
182,Blondie,Halfmoon,4,5.41,Thailand,55.75,Excellent,Win
183,Cyrus,Rose,5,6.26,India,62.2,Excellent,Win
184,Tracy,Crown,3,6.09,Indonesia,72.64,Excellent,Win
185,Annelise,Rose,3,4.56,Vietnam,59.06,Excellent,Win
186,Tabbatha,Rose,3,4.79,Thailand,53.3,Good,Win
187,Berry,Halfmoon,4,3.96,India,48.24,Poor,Lose
188,Farleigh,Spade,2,3.62,Indonesia,47.36,Untidy,Lose
189,Bertie,Spade,5,6.98,India,28.28,Poor,Lose
190,Reed,Crown,1,6.7,Indonesia,11.5,Untidy,Lose
191,Cecil,Crown,4,4.82,India,9.04,Excellent,Lose
192,Kaleena,Rose,5,5.84,Vietnam,88.7,Good,Win
193,Phillida,Crown,1,4.78,Thailand,32.04,Good,Win
194,Tandi,Halfmoon,5,6.34,Vietnam,52.68,Excellent,Win
195,Gwenni,Halfmoon,2,4.51,Indonesia,16.29,Excellent,Win
196,Farand,Halfmoon,3,4.51,Thailand,68.87,Excellent,Lose
197,Keen,Crown,4,6.2,Indonesia,3.2,Untidy,Lose
198,Isidor,Rose,3,6.91,Indonesia,48.87,Poor,Lose
199,Cindelyn,Spade,4,6.32,Vietnam,67.15,Excellent,Win
200,Leonanie,Spade,1,6.14,Thailand,84.43,Excellent,Win
201,Danna,Rose,5,4.39,Thailand,48.18,Excellent,Win
202,Alisander,Crown,2,4.04,Thailand,35.78,Poor,Win
203,Leonard,Spade,1,6.54,India,0.95,Poor,Lose
204,Kele,Rose,4,4.18,India,46.07,Poor,Lose
205,Sherrie,Rose,3,3.99,Indonesia,13.92,Untidy,Lose
206,Bealle,Crown,5,5.33,Thailand,72.23,Good,Win
207,Lanae,Spade,1,5.55,Thailand,85.08,Good,Win
208,Ora,Plakat,1,4.11,Thailand,58.87,Excellent,Win
209,Aurelea,Spade,2,6.16,Indonesia,18.79,Poor,Lose
210,Coop,Spade,4,3.8,Vietnam,18.51,Untidy,Lose
211,Analiese,Crown,5,5.99,Vietnam,67.62,Excellent,Win
212,Elyssa,Spade,3,6.35,India,44.07,Poor,Lose
213,Bartholomeo,Halfmoon,1,6.12,India,69.97,Excellent,Win
214,Raymund,Halfmoon,5,6.69,Thailand,32.9,Untidy,Lose
215,Ortensia,Rose,1,4.09,Indonesia,24.02,Poor,Lose
216,Dulci,Plakat,4,5.5,India,75.94,Good,Win
217,Keefer,Crown,3,5.82,Indonesia,68.11,Untidy,Win
218,Mable,Spade,3,6.14,Thailand,84.57,Good,Win
219,Pierrette,Crown,4,4.38,India,0.29,Poor,Lose
220,Ayn,Crown,2,3.8,India,24.34,Untidy,Lose
221,Kari,Plakat,3,4.7,Vietnam,3.55,Poor,Lose
222,Roze,Spade,4,5.42,Thailand,61.13,Good,Win
223,Farrand,Plakat,3,6.93,Indonesia,31.51,Untidy,Lose
224,Fraser,Spade,3,4.03,India,8.62,Poor,Lose
225,Bertine,Plakat,3,4.78,India,35.32,Untidy,Lose
226,Merwyn,Halfmoon,2,6.34,India,26.83,Untidy,Lose
227,Zandra,Halfmoon,5,5.01,Thailand,56.6,Good,Lose
228,Hollis,Crown,3,4.69,Vietnam,62.45,Excellent,Win
229,Denna,Crown,1,4.58,India,74.67,Excellent,Win
230,Tymon,Crown,2,4.21,Thailand,45.45,Excellent,Win
231,Tammy,Rose,5,5.47,Thailand,75.27,Excellent,Win
232,Merridie,Spade,3,4.53,Thailand,86.63,Good,Win
233,Yolane,Crown,5,4.23,India,9.75,Poor,Lose
234,Cyrus,Spade,1,6.32,Thailand,67.2,Good,Win
235,Zilvia,Spade,2,6.73,Vietnam,55.0,Excellent,Win
236,Gaven,Plakat,3,6.18,Thailand,62.27,Excellent,Win
237,Adorne,Rose,1,4.65,Indonesia,72.0,Good,Win
238,Marylee,Rose,1,6.69,Thailand,71.94,Good,Win
239,Rodrique,Spade,2,6.48,Indonesia,11.48,Excellent,Lose
240,Kipp,Halfmoon,1,4.84,Indonesia,1.23,Poor,Lose
241,Liz,Plakat,3,6.66,India,39.46,Poor,Lose
242,Levon,Rose,1,6.78,India,38.35,Untidy,Lose
243,Trudey,Plakat,2,3.91,India,43.12,Excellent,Win
244,Salome,Rose,1,3.9,Thailand,33.84,Good,Win
245,Dilan,Spade,1,4.4,India,12.33,Untidy,Lose
246,Lenna,Spade,5,6.97,Indonesia,38.36,Untidy,Lose
247,Wolfy,Spade,4,5.63,Thailand,60.03,Excellent,Win
248,Gerladina,Crown,4,4.85,India,2.37,Poor,Lose
249,Cort,Spade,4,4.24,India,9.37,Poor,Lose
250,Jeremiah,Rose,5,6.84,India,6.67,Excellent,Lose
251,Jean,Spade,5,3.89,Thailand,33.22,Good,Win
252,Luke,Spade,3,4.71,India,19.81,Excellent,Win
253,Jemimah,Halfmoon,1,4.27,Thailand,20.16,Poor,Win
254,Sigmund,Spade,2,4.51,Thailand,55.59,Good,Win
255,Walther,Crown,1,3.64,Indonesia,59.79,Untidy,Lose
256,Jeralee,Crown,3,4.51,Thailand,43.91,Good,Win
257,Shepherd,Spade,4,4.54,Vietnam,82.4,Poor,Lose
258,Renard,Rose,2,4.56,India,6.64,Untidy,Lose
259,Eduard,Halfmoon,4,5.53,Thailand,55.18,Good,Win
260,Sylas,Spade,1,4.78,Thailand,64.33,Untidy,Win
261,Lyman,Spade,1,6.04,India,15.29,Untidy,Lose
262,Rosamond,Plakat,4,5.73,Thailand,83.84,Excellent,Win
263,Jacobo,Spade,2,6.29,Vietnam,53.08,Excellent,Win
264,Sam,Halfmoon,5,5.69,Thailand,82.43,Excellent,Win
265,Winfield,Spade,2,4.35,Vietnam,61.94,Good,Win
266,Clemmie,Crown,1,4.05,India,23.03,Excellent,Lose
267,Neely,Spade,3,6.91,India,16.66,Untidy,Win
268,Eva,Halfmoon,3,3.97,India,3.36,Poor,Lose
269,Immanuel,Plakat,4,4.26,Vietnam,47.88,Excellent,Win
270,Anabal,Spade,5,4.36,India,20.34,Poor,Lose
271,Ramona,Plakat,1,4.26,Thailand,37.55,Good,Win
272,Frans,Rose,2,6.39,Indonesia,5.1,Poor,Win
273,Pamella,Crown,2,5.3,Thailand,60.19,Excellent,Win
274,Jasmin,Crown,1,4.67,Indonesia,13.3,Poor,Lose
275,Melisse,Crown,2,6.66,Indonesia,26.13,Poor,Lose
276,Hayes,Spade,4,6.69,Thailand,56.53,Excellent,Win
277,Vernice,Crown,2,4.37,India,16.12,Poor,Lose
278,Manya,Rose,2,4.59,India,98.61,Excellent,Win
279,Bartel,Crown,3,4.86,Thailand,57.08,Untidy,Lose
280,Mariette,Rose,5,5.25,Thailand,56.2,Good,Win
281,Homer,Plakat,1,6.35,India,77.03,Excellent,Win
282,Minda,Rose,1,3.94,Thailand,50.18,Excellent,Lose
283,Dennison,Halfmoon,4,6.53,Indonesia,19.91,Poor,Lose
284,Fiann,Crown,1,3.73,Indonesia,27.65,Poor,Lose
285,Karlis,Halfmoon,4,4.39,India,16.94,Excellent,Lose
286,Konrad,Plakat,4,5.4,Thailand,86.29,Excellent,Win
287,Pernell,Spade,1,3.67,Indonesia,20.05,Poor,Lose
288,Corine,Crown,4,4.84,India,14.53,Poor,Lose
289,Berenice,Halfmoon,5,4.44,Vietnam,40.39,Untidy,Lose
290,Yoshiko,Rose,4,4.27,Vietnam,29.07,Poor,Lose
291,Viviyan,Crown,5,6.29,Vietnam,74.86,Excellent,Win
292,Rosalia,Halfmoon,5,3.64,Indonesia,11.4,Good,Lose
293,Selby,Halfmoon,5,5.33,Thailand,50.85,Good,Win
294,Winonah,Halfmoon,3,5.61,Thailand,59.21,Excellent,Win
295,Cindra,Rose,5,6.66,Vietnam,79.23,Good,Win
296,Aldrich,Crown,1,4.76,Indonesia,49.91,Poor,Lose
297,Adelheid,Spade,4,6.26,India,20.34,Poor,Lose
298,Claire,Spade,5,6.86,Indonesia,41.33,Poor,Lose
299,Tomasine,Rose,4,3.86,Indonesia,0.36,Untidy,Lose
300,Vivi,Plakat,1,3.93,Vietnam,53.89,Excellent,Win
301,Dorothee,Crown,1,4.04,Indonesia,27.77,Untidy,Lose
302,Halette,Plakat,5,3.73,India,9.35,Untidy,Lose
303,Abbott,Plakat,3,5.89,India,74.18,Good,Win
304,Hubey,Spade,5,4.41,Thailand,44.61,Good,Win
305,Nadine,Rose,5,5.84,India,78.51,Good,Win
306,Tybie,Plakat,1,7.02,India,10.45,Poor,Lose
307,Shawn,Rose,5,4.76,Vietnam,92.02,Good,Win
308,Addy,Plakat,3,6.17,Vietnam,80.51,Poor,Lose
309,Brannon,Rose,4,4.94,Vietnam,71.8,Excellent,Win
310,Abdel,Rose,1,4.68,Thailand,50.71,Excellent,Win
311,Winne,Plakat,5,4.15,Thailand,48.48,Excellent,Win
312,Dirk,Halfmoon,5,7.01,Vietnam,64.84,Excellent,Win
313,Gwenora,Plakat,2,6.43,India,77.48,Excellent,Win
314,Kareem,Crown,3,6.23,Indonesia,50.61,Good,Lose
315,Nerte,Spade,1,6.88,India,22.28,Good,Lose
316,Marlie,Crown,3,3.95,India,1.7,Untidy,Lose
317,Helena,Plakat,2,5.37,Thailand,80.98,Excellent,Win
318,Lorianne,Plakat,4,4.2,Thailand,55.2,Excellent,Win
319,Bron,Spade,5,5.63,Vietnam,81.35,Excellent,Win
320,Klarika,Rose,4,3.83,Thailand,83.05,Excellent,Lose
321,Tris,Halfmoon,2,5.53,Vietnam,78.14,Good,Win
322,Mendy,Spade,5,5.81,Thailand,61.75,Excellent,Win
323,Gianni,Spade,4,5.9,Indonesia,81.43,Untidy,Win
324,Claybourne,Rose,1,4.8,Thailand,85.83,Good,Win
325,Revkah,Rose,4,4.56,Indonesia,29.02,Poor,Lose
326,Antons,Rose,5,3.93,Thailand,56.15,Poor,Win
327,Analiese,Halfmoon,1,6.4,Thailand,97.28,Untidy,Win
328,Sioux,Plakat,1,3.57,India,45.02,Untidy,Lose
329,Felix,Rose,1,6.35,Vietnam,88.51,Good,Win
330,Arly,Spade,5,4.15,India,19.74,Untidy,Lose
331,Aileen,Halfmoon,1,5.98,Thailand,91.96,Excellent,Win
332,Arlana,Crown,2,6.16,Indonesia,64.28,Good,Win
333,Bab,Crown,5,4.68,Thailand,38.82,Excellent,Win
334,Nessy,Plakat,2,6.45,Indonesia,49.2,Untidy,Lose
335,Constancy,Rose,1,3.72,India,54.79,Poor,Lose
336,Shay,Spade,4,6.33,Indonesia,78.79,Excellent,Win
337,Worthy,Crown,5,5.96,Vietnam,70.0,Excellent,Win
338,Ariana,Plakat,2,5.54,Indonesia,62.13,Good,Win
339,Dacy,Rose,1,6.66,Vietnam,16.19,Poor,Lose
340,Towney,Spade,1,3.54,India,9.1,Untidy,Lose
341,Sumner,Spade,1,4.73,Vietnam,88.35,Good,Win
342,Ravi,Halfmoon,4,5.84,Vietnam,85.2,Good,Win
343,Judd,Rose,2,5.4,Vietnam,46.12,Good,Win
344,Selena,Crown,4,4.29,Indonesia,4.05,Poor,Win
345,Ryun,Crown,5,6.16,Vietnam,66.56,Untidy,Win
346,Dieter,Crown,2,6.5,Vietnam,57.84,Excellent,Win
347,Melany,Spade,4,5.25,India,83.99,Excellent,Win
348,Anna,Halfmoon,4,5.12,Thailand,58.08,Excellent,Win
349,Mathian,Plakat,3,4.65,India,45.53,Good,Win
350,Devy,Rose,2,3.55,Indonesia,23.78,Untidy,Lose
351,Morrie,Halfmoon,3,5.08,Thailand,47.0,Excellent,Win
352,Benedicto,Halfmoon,4,4.77,India,21.71,Untidy,Lose
353,Yoko,Halfmoon,1,4.13,India,22.75,Untidy,Lose
354,Damon,Halfmoon,5,3.79,India,19.45,Poor,Lose
355,Beitris,Crown,1,4.36,Thailand,47.01,Good,Win
356,Mitch,Halfmoon,3,6.11,Vietnam,74.12,Good,Win
357,Erica,Rose,5,4.07,Thailand,48.89,Good,Win
358,Kellsie,Crown,5,3.95,Thailand,50.73,Excellent,Win
359,Tove,Crown,4,6.32,India,24.71,Poor,Lose
360,Melita,Rose,4,5.11,Thailand,76.43,Excellent,Win
361,Armando,Spade,4,4.6,Thailand,54.53,Excellent,Win
362,Clair,Halfmoon,2,6.27,Thailand,77.91,Good,Win
363,Vere,Rose,2,4.97,Vietnam,91.19,Excellent,Win
364,Mathilde,Spade,2,6.62,Thailand,4.92,Untidy,Lose
365,Woody,Plakat,5,4.29,India,40.72,Poor,Lose
366,Peggy,Spade,4,5.92,Vietnam,80.53,Excellent,Win
367,Lee,Rose,5,6.63,India,11.54,Untidy,Lose
368,Rosalia,Spade,1,6.41,India,45.43,Untidy,Lose
369,Carr,Crown,4,5.83,Vietnam,80.25,Excellent,Win
370,Oralla,Crown,2,6.98,Vietnam,11.03,Untidy,Lose
371,Verile,Crown,3,3.95,Indonesia,19.85,Good,Lose
372,Essa,Crown,5,6.9,Indonesia,15.24,Poor,Lose
373,Ulla,Crown,2,5.83,Vietnam,73.33,Excellent,Win
374,Darelle,Spade,3,4.91,Vietnam,70.84,Excellent,Win
375,Rodney,Plakat,4,5.04,Vietnam,60.54,Excellent,Win
376,Francisca,Crown,2,4.76,Thailand,30.82,Good,Win
377,Cristina,Spade,5,6.78,India,59.42,Excellent,Win
378,Rolando,Halfmoon,5,3.93,Indonesia,19.63,Excellent,Lose
379,Ofelia,Rose,3,4.56,Thailand,43.72,Good,Win
380,Nathanial,Plakat,2,6.6,Indonesia,88.18,Good,Win
381,Spense,Spade,2,5.92,Thailand,54.48,Excellent,Win
382,Guenevere,Spade,5,5.51,Vietnam,85.59,Excellent,Win
383,Johnny,Halfmoon,1,6.83,India,20.4,Poor,Lose
384,Kaylil,Halfmoon,4,6.54,Indonesia,23.99,Poor,Lose
385,Lanny,Rose,2,4.11,India,5.27,Poor,Lose
386,Bengt,Plakat,2,6.97,Indonesia,7.5,Poor,Lose
387,Peggie,Crown,5,6.85,Indonesia,17.43,Good,Lose
388,Robbin,Plakat,3,5.52,Indonesia,68.2,Excellent,Win
389,Joanna,Plakat,1,4.25,India,19.19,Untidy,Lose
390,Archambault,Halfmoon,3,5.36,Thailand,76.8,Good,Win
391,Gawain,Spade,4,3.97,India,0.34,Untidy,Lose
392,Rurik,Halfmoon,2,6.88,Vietnam,76.72,Good,Win
393,Sarena,Crown,2,6.65,Indonesia,13.23,Poor,Win
394,Eolanda,Halfmoon,3,6.45,India,10.32,Good,Lose
395,Butch,Plakat,4,4.13,India,9.19,Untidy,Lose
396,Nerte,Plakat,5,6.41,Vietnam,72.28,Untidy,Win
397,Forester,Rose,3,6.53,Indonesia,5.98,Poor,Win
398,Adore,Spade,5,7.09,India,45.73,Poor,Win
399,Lucinda,Spade,3,4.65,India,27.83,Untidy,Lose
400,Terencio,Rose,5,5.31,Thailand,96.92,Untidy,Lose
401,Sophie,Rose,4,6.23,Thailand,24.36,Excellent,Lose
402,Herc,Crown,5,7.03,India,16.43,Poor,Lose
403,Verna,Rose,5,3.53,Indonesia,10.62,Poor,Win
404,Clark,Rose,4,5.2,Thailand,59.8,Good,Win
405,Celestia,Plakat,3,5.15,Vietnam,84.15,Poor,Win
406,Davita,Rose,3,5.65,Vietnam,67.69,Poor,Win
407,Karlyn,Halfmoon,3,6.48,Thailand,95.41,Poor,Win
408,Kalli,Rose,2,5.59,Thailand,39.57,Excellent,Lose
