id,store_name,average_response_time,successful_transactions,number_of_workday,cancelled_transactions,average_review_score
67,Lynch-Rohan,322 Minute(s),185708,7 Day(s),1329,3.32
68,Hermann-Sawayn,38 Minute(s),279869,7 Day(s),35,3.69
69,Russel-Okuneva,42 Minute(s),120610,4 Day(s),215,3.82
70,"Gutmann, Kuhic and Torphy",976 Minute(s),122783,4 Day(s),2401,3.18
71,Blick Group,666 Minute(s),107595,2 Day(s),2304,3.5
72,Lynch Inc,553 Minute(s),217208,6 Day(s),1308,4.46
73,Schimmel LLC,354 Minute(s),119539,5 Day(s),1374,4.56
74,Jerde-Kuhlman,122 Minute(s),97303,7 Day(s),235,4.45
75,Gusikowski Inc,655 Minute(s),60500,6 Day(s),1927,3.67
76,Pouros LLC,1131 Minute(s),53261,5 Day(s),1914,2.86
77,"Kiehn, Stanton and Hirthe",167 Minute(s),216649,6 Day(s),1259,4.38
78,Wehner-Feeney,1353 Minute(s),62903,5 Day(s),1841,4.15
79,Lowe Group,123 Minute(s),292659,7 Day(s),232,3.52
80,"Herzog, Sporer and Klein",58 Minute(s),197196,5 Day(s),272,3.24
81,Lind LLC,144 Minute(s),264745,7 Day(s),566,3.74
82,Rempel Inc,1401 Minute(s),124715,5 Day(s),1512,3.42
83,Murazik LLC,152 Minute(s),177460,7 Day(s),785,4.02
84,Zemlak Inc,1237 Minute(s),103602,4 Day(s),2466,2.33
85,Legros Inc,675 Minute(s),36747,3 Day(s),2086,2.84
86,Pfannerstill Inc,125 Minute(s),63897,4 Day(s),779,3.82
87,Quitzon-Lubowitz,401 Minute(s),102402,5 Day(s),533,4.35
88,Reilly Group,464 Minute(s),204682,5 Day(s),1112,4.4
89,"Luettgen, Schuppe and Barton",672 Minute(s),62405,3 Day(s),1950,4.18
90,"Hauck, Dooley and Kreiger",1193 Minute(s),128029,3 Day(s),2961,3.38
91,Okuneva-Bauch,395 Minute(s),153851,6 Day(s),1287,3.25
92,Bednar-Gutmann,171 Minute(s),112419,5 Day(s),68,4.33
93,Buckridge-Moen,488 Minute(s),224382,5 Day(s),804,4.86
94,Marvin LLC,1200 Minute(s),125204,4 Day(s),1915,3.75
95,Jast Inc,35 Minute(s),207820,6 Day(s),547,3.62
96,Ziemann and Sons,444 Minute(s),207316,5 Day(s),1303,3.31
97,Huels Group,330 Minute(s),193107,5 Day(s),1055,4.27
98,"Upton, Green and Hilpert",898 Minute(s),67470,3 Day(s),1793,3.59
99,Smitham-McGlynn,37 Minute(s),231798,7 Day(s),131,3.73
100,"Feeney, Schiller and Pagac",843 Minute(s),88574,4 Day(s),1680,2.77
101,"Beatty, Ernser and Corwin",237 Minute(s),129711,6 Day(s),406,4.69
102,Daniel Inc,234 Minute(s),168596,7 Day(s),530,3.45
103,Davis-Crist,50 Minute(s),200298,7 Day(s),159,3.81
104,"Macejkovic, Bailey and Cruickshank",570 Minute(s),117401,4 Day(s),1611,3.3
105,Littel-Upton,776 Minute(s),102078,5 Day(s),1910,3.52
106,"McClure, DuBuque and Dooley",1005 Minute(s),52857,3 Day(s),2329,3.94
107,Zemlak Group,446 Minute(s),146538,4 Day(s),1577,3.67
108,Hirthe Inc,239 Minute(s),184482,7 Day(s),1231,4.51
109,Walter and Sons,4 Minute(s),224505,6 Day(s),69,4.01
110,Farrell-Green,624 Minute(s),129859,4 Day(s),2697,2.28
111,Rohan-Rosenbaum,18 Minute(s),83179,7 Day(s),55,4.85
112,Lemke-Lesch,178 Minute(s),181067,5 Day(s),1577,3.88
113,Hermiston-Hettinger,1255 Minute(s),76201,3 Day(s),1858,3.07
114,Denesik-Kunze,281 Minute(s),213416,6 Day(s),1150,3.5
115,Grant and Sons,925 Minute(s),62953,3 Day(s),1910,2.78
116,"Jones, Effertz and Blick",698 Minute(s),53586,4 Day(s),2061,4.11
117,"Leuschke, Gislason and Dibbert",434 Minute(s),237876,5 Day(s),1137,4.85
118,Champlin and Sons,219 Minute(s),183270,3 Day(s),1559,3.55
119,Bartell and Sons,871 Minute(s),67443,4 Day(s),1773,3.59
120,"Goyette, Satterfield and Ziemann",99 Minute(s),165890,7 Day(s),613,3.76
121,Carroll-Walker,213 Minute(s),191586,4 Day(s),1489,3.92
122,Wisoky-Smitham,452 Minute(s),119026,6 Day(s),1218,3.74
123,Torphy-Huels,115 Minute(s),202802,4 Day(s),650,4.9
124,"Anderson, Feeney and Homenick",195 Minute(s),148564,6 Day(s),1363,4.18
125,Mayert-Ruecker,314 Minute(s),192246,4 Day(s),957,3.97
126,Klein-Krajcik,67 Minute(s),167781,4 Day(s),311,3.77
127,Romaguera Group,1225 Minute(s),85196,3 Day(s),2624,3.18
128,Funk-DuBuque,416 Minute(s),111163,6 Day(s),1469,3.62
129,Roob-Reynolds,1063 Minute(s),63065,5 Day(s),1935,3.41
130,Howell LLC,216 Minute(s),148719,3 Day(s),1103,4.38
131,Rempel-Nitzsche,90 Minute(s),173247,6 Day(s),418,4.48
132,Wehner LLC,171 Minute(s),103605,6 Day(s),696,4.08
133,Lueilwitz Group,13 Minute(s),105516,7 Day(s),590,3.6
134,Conn-Kertzmann,26 Minute(s),101810,5 Day(s),195,4.45
135,Johns-Homenick,65 Minute(s),220896,6 Day(s),444,4.31
136,"Kunde, Marks and Yundt",359 Minute(s),102573,6 Day(s),1231,3.36
137,Kovacek-Jenkins,1258 Minute(s),30527,3 Day(s),1639,3.11
138,"Hayes, Rodriguez and Herman",419 Minute(s),161057,5 Day(s),1242,4.15
139,Bayer-Mertz,1418 Minute(s),101569,4 Day(s),2028,3.77
140,"Hoeger, Walker and Von",1102 Minute(s),116893,5 Day(s),1653,3.97
141,Hahn-O'Connell,172 Minute(s),228179,4 Day(s),267,3.83
142,Terry-Hintz,199 Minute(s),215467,5 Day(s),1391,3.43
143,Klocko LLC,163 Minute(s),252464,5 Day(s),146,4.58
144,"Walker, Hickle and Lind",1002 Minute(s),71966,5 Day(s),2764,2.92
145,Strosin LLC,563 Minute(s),69289,3 Day(s),1859,3.06
146,Fadel Inc,1116 Minute(s),53263,5 Day(s),2084,2.99
147,Lakin Inc,148 Minute(s),204028,6 Day(s),245,4.53
148,"McLaughlin, Mante and VonRueden",221 Minute(s),110516,5 Day(s),1119,4.6
149,"Rath, Crist and Bosco",165 Minute(s),124951,5 Day(s),400,3.95
150,Waelchi LLC,333 Minute(s),137944,3 Day(s),1228,4.54
151,"Kris, Boyer and Barton",681 Minute(s),75322,4 Day(s),2778,2.78
152,Gleason LLC,1217 Minute(s),67183,5 Day(s),1903,2.71
153,Jacobs Group,1085 Minute(s),106478,6 Day(s),1684,3.59
154,Lynch Inc,1202 Minute(s),78038,3 Day(s),1961,2.75
155,"Pfannerstill, Runte and Wehner",315 Minute(s),187565,6 Day(s),1178,4.57
156,Fisher LLC,559 Minute(s),181698,5 Day(s),1166,4.25
157,Kovacek and Sons,1119 Minute(s),98052,2 Day(s),2411,2.52
158,Kub-O'Kon,365 Minute(s),55599,7 Day(s),634,4.04
159,"Abbott, Barrows and Graham",511 Minute(s),213241,6 Day(s),1229,4.1
160,"Rice, Kutch and Kuhlman",403 Minute(s),152284,5 Day(s),1543,4.08
161,Johnston-Hand,1078 Minute(s),128685,3 Day(s),2449,3.54
162,Hirthe-Ondricka,125 Minute(s),82284,5 Day(s),600,4.5
163,Cummerata and Sons,1309 Minute(s),66868,5 Day(s),1675,3.37
164,"Tremblay, Kessler and Larson",52 Minute(s),259553,5 Day(s),654,3.96
165,Krajcik-Kunde,859 Minute(s),68850,3 Day(s),1830,3.66
166,Conroy LLC,131 Minute(s),109016,4 Day(s),289,3.67
167,Harber and Sons,1129 Minute(s),74101,2 Day(s),2428,2.23
168,Buckridge Inc,606 Minute(s),58510,6 Day(s),1716,3.53
169,Muller and Sons,1370 Minute(s),89979,3 Day(s),2460,2.6
170,Bradtke-Mohr,275 Minute(s),196154,6 Day(s),787,4.47
171,Reilly Group,373 Minute(s),178151,7 Day(s),1100,3.98
172,White-Russel,1052 Minute(s),105593,5 Day(s),2605,2.4
173,"Padberg, Bartoletti and Welch",278 Minute(s),170639,6 Day(s),1455,4.09
174,"Rippin, Lehner and Harvey",968 Minute(s),58432,4 Day(s),1722,3.15
175,"Johnston, Frami and Corkery",993 Minute(s),64890,5 Day(s),2015,2.97
176,Hansen LLC,1126 Minute(s),124920,6 Day(s),1535,4.28
177,"Labadie, Kautzer and Braun",289 Minute(s),153800,5 Day(s),1165,4.27
178,"Stanton, Steuber and Wisozk",356 Minute(s),224553,4 Day(s),1193,4.49
179,"Murphy, Krajcik and Rempel",913 Minute(s),108789,2 Day(s),2255,2.58
180,"Balistreri, Lesch and McClure",145 Minute(s),87491,6 Day(s),110,4.91
181,"Nicolas, Lueilwitz and Buckridge",448 Minute(s),179394,7 Day(s),1154,4.19
182,"Rath, Parisian and Hane",839 Minute(s),45340,3 Day(s),2548,3.06
183,Stiedemann-McKenzie,1076 Minute(s),109135,2 Day(s),2733,3.37
184,Parker Group,529 Minute(s),210285,6 Day(s),1157,3.72
185,Murray Group,386 Minute(s),154150,7 Day(s),1158,3.21
186,Jenkins Inc,632 Minute(s),100355,4 Day(s),2753,2.58
187,"Bogisich, Rutherford and Leuschke",1210 Minute(s),53910,3 Day(s),1558,3.62
188,"Beahan, Johnson and Towne",696 Minute(s),53038,4 Day(s),2095,3.11
189,"Frami, Stanton and Herman",267 Minute(s),178196,5 Day(s),1514,4.63
190,Rau Group,976 Minute(s),71794,3 Day(s),1983,3.12
191,Zieme Group,719 Minute(s),102142,3 Day(s),2492,3.48
192,Kirlin and Sons,205 Minute(s),228839,5 Day(s),285,3.6
193,Howell-Schroeder,668 Minute(s),56714,3 Day(s),1862,3.76
194,"Bosco, Mertz and Waters",10 Minute(s),95236,4 Day(s),299,3.44
195,Stark-Paucek,799 Minute(s),92656,4 Day(s),1504,3.05
196,Lindgren-Lind,151 Minute(s),209385,7 Day(s),666,4.31
197,"Braun, Reilly and Streich",456 Minute(s),218408,6 Day(s),1254,3.59
198,Sporer and Sons,617 Minute(s),67634,6 Day(s),2114,4.16
199,Herman Inc,44 Minute(s),233823,7 Day(s),1318,4.74
200,Murazik-Bins,179 Minute(s),183619,7 Day(s),1189,4.04
201,"Ziemann, Macejkovic and Pollich",111 Minute(s),203012,7 Day(s),534,4.19
202,Pollich and Sons,704 Minute(s),90468,4 Day(s),2971,2.75
203,Romaguera-Steuber,1296 Minute(s),33641,5 Day(s),2436,3.68
204,Cummings-Stark,1405 Minute(s),104131,5 Day(s),2874,2.11
205,"Wehner, Cremin and Wiza",502 Minute(s),219975,4 Day(s),1407,3.95
206,"Hickle, Koelpin and Kirlin",709 Minute(s),93169,4 Day(s),2494,3.58
207,Boyle and Sons,372 Minute(s),175743,5 Day(s),927,4.65
208,Blanda Group,100 Minute(s),122355,5 Day(s),78,4.09
209,Haley LLC,314 Minute(s),128004,6 Day(s),1033,3.21
210,"Blanda, Huels and Mann",155 Minute(s),229734,5 Day(s),138,4.66
211,"Lemke, Hermann and Goodwin",198 Minute(s),186415,4 Day(s),123,3.33
212,"Walter, Schaden and Kemmer",1354 Minute(s),73023,5 Day(s),2418,3.36
213,"Goyette, Bahringer and Pagac",406 Minute(s),206991,6 Day(s),1101,4.88
214,"Koch, Treutel and Koch",1344 Minute(s),100239,2 Day(s),2433,2.22
215,"Stroman, Windler and Jacobs",1213 Minute(s),70055,4 Day(s),1863,3.06
216,Mills Inc,4 Minute(s),164675,4 Day(s),344,3.83
217,"Grady, Lynch and Reichert",228 Minute(s),122212,4 Day(s),1394,3.68
218,Wehner-Pfannerstill,76 Minute(s),163595,4 Day(s),1080,3.52
219,Boehm-Nolan,915 Minute(s),32556,3 Day(s),1640,3.23
220,"Waters, Schmitt and Davis",715 Minute(s),79345,2 Day(s),2724,3.03
221,Wilkinson LLC,1014 Minute(s),51682,5 Day(s),1963,2.79
222,"Bailey, Lesch and Koss",539 Minute(s),194063,7 Day(s),1356,4.53
223,Wuckert-Grimes,279 Minute(s),141500,3 Day(s),1151,3.99
224,"Stokes, Douglas and Koepp",427 Minute(s),165331,7 Day(s),1179,4.11
225,Dibbert Group,175 Minute(s),299521,5 Day(s),129,3.78
226,"Ortiz, Collier and Friesen",345 Minute(s),134961,3 Day(s),1188,4.61
227,Goldner-Weimann,116 Minute(s),126553,4 Day(s),108,4.86
228,Pagac Group,265 Minute(s),199908,5 Day(s),1548,3.93
229,"Medhurst, Larson and Dare",330 Minute(s),162800,6 Day(s),1402,3.7
230,Cronin-Leannon,1209 Minute(s),76776,4 Day(s),1859,2.93
231,Turner Inc,170 Minute(s),105820,6 Day(s),497,4.36
232,Hauck and Sons,179 Minute(s),121612,7 Day(s),37,4.53
233,Rippin Group,263 Minute(s),163390,4 Day(s),1256,4.54
234,"Feeney, Hessel and Powlowski",37 Minute(s),141645,4 Day(s),655,3.31
235,Yundt-Muller,3 Minute(s),118020,7 Day(s),45,4.42
236,"Feeney, Lueilwitz and Herzog",136 Minute(s),81968,5 Day(s),301,4.19
237,Zieme Group,677 Minute(s),85178,4 Day(s),2408,3.5
238,"Kuhic, Gulgowski and Jerde",827 Minute(s),127568,4 Day(s),1603,3.65
239,Waelchi Group,1266 Minute(s),108660,3 Day(s),2952,3.35
240,"Marquardt, Turner and Olson",489 Minute(s),217950,6 Day(s),955,4.24
241,Hudson-Huel,137 Minute(s),158503,6 Day(s),8,4.71
242,"D'Amore, Murazik and Runolfsdottir",133 Minute(s),242637,6 Day(s),426,3.56
243,Zulauf Inc,149 Minute(s),188741,6 Day(s),393,4.97
244,Steuber Group,103 Minute(s),73561,5 Day(s),140,4.72
245,Price-Bogan,1094 Minute(s),111139,3 Day(s),2497,2.22
246,"Barrows, Abernathy and Stark",167 Minute(s),198888,7 Day(s),698,3.67
247,White-Jones,74 Minute(s),189894,7 Day(s),439,3.88
248,Ullrich-Powlowski,1074 Minute(s),128524,2 Day(s),2827,2.23
249,"Haley, Jacobson and Nolan",1304 Minute(s),58928,5 Day(s),2219,3.34
250,"Lockman, DuBuque and Okuneva",499 Minute(s),68100,7 Day(s),9,3.27
251,Sipes Group,1396 Minute(s),92123,4 Day(s),2555,2.19
252,Shields-Baumbach,159 Minute(s),80588,7 Day(s),293,4.59
253,Kilback and Sons,1315 Minute(s),121042,5 Day(s),2385,3.53
254,Price-Wiza,319 Minute(s),82591,4 Day(s),238,4.19
255,Tromp LLC,129 Minute(s),242326,5 Day(s),168,4.5
256,"Wolff, Mante and Reilly",1146 Minute(s),122915,3 Day(s),2552,3.58
257,"Smitham, Batz and Roberts",411 Minute(s),195166,6 Day(s),1359,3.62
258,Schultz-Streich,132 Minute(s),156748,7 Day(s),1159,3.86
259,Williamson Inc,862 Minute(s),62857,5 Day(s),2409,3.65
260,"Stracke, Bartell and Von",150 Minute(s),119976,6 Day(s),52,4.77
261,Fritsch-Botsford,1081 Minute(s),123462,2 Day(s),2476,3.57
262,Cremin Inc,1376 Minute(s),83943,2 Day(s),2571,2.82
263,"Stoltenberg, Little and Beer",161 Minute(s),169410,5 Day(s),1355,3.71
264,Paucek Inc,1220 Minute(s),54520,6 Day(s),2127,4.15
265,Walker Inc,361 Minute(s),157072,6 Day(s),1166,3.25
266,Gutmann-Larson,449 Minute(s),69507,7 Day(s),1345,4.16
267,"Kilback, Haag and Conroy",1322 Minute(s),75189,5 Day(s),1733,2.7
268,Monahan-Jacobson,632 Minute(s),41975,5 Day(s),1728,3.25
269,Kutch and Sons,523 Minute(s),189846,6 Day(s),1509,3.64
270,"Keeling, Volkman and Becker",467 Minute(s),240611,6 Day(s),781,4.18
271,"Morissette, Runolfsdottir and Gleason",523 Minute(s),165940,4 Day(s),1117,3.92
272,"Prohaska, Fahey and DuBuque",1083 Minute(s),99141,6 Day(s),2091,4.03
273,Wiza-Ritchie,801 Minute(s),60847,5 Day(s),1710,3.43
274,Cartwright-Kihn,513 Minute(s),153859,5 Day(s),1149,3.13
275,"Lebsack, Roob and Cassin",106 Minute(s),225927,5 Day(s),241,4.35
276,Wisozk-Emmerich,100 Minute(s),240159,5 Day(s),35,3.73
277,Schaefer-O'Hara,641 Minute(s),117656,5 Day(s),2394,2.66
278,Collins LLC,135 Minute(s),197501,4 Day(s),515,4.54
279,"Walter, Mills and Heaney",921 Minute(s),46608,4 Day(s),2204,4.09
280,Tremblay-Hammes,239 Minute(s),150421,4 Day(s),1430,4.31
281,Schmidt LLC,1377 Minute(s),63063,3 Day(s),2082,2.99
282,"Bernhard, Schuster and Hansen",94 Minute(s),208290,6 Day(s),114,3.92
283,Wilkinson-Nicolas,373 Minute(s),186949,7 Day(s),1323,4.4
284,Price Group,106 Minute(s),282036,7 Day(s),468,3.99
285,Kovacek-Satterfield,438 Minute(s),177421,5 Day(s),1077,3.63
286,Dickinson and Sons,22 Minute(s),121235,6 Day(s),174,3.56
287,"Hoppe, Nolan and Bernier",1318 Minute(s),84288,2 Day(s),2850,2.95
288,Labadie-O'Keefe,264 Minute(s),200699,6 Day(s),1364,3.6
289,"Borer, Ullrich and Rosenbaum",141 Minute(s),119172,5 Day(s),608,3.59
290,Bradtke-Goodwin,86 Minute(s),73630,7 Day(s),229,4.56
291,Conroy Group,57 Minute(s),121153,5 Day(s),327,4.5
292,O'Conner-Wolf,137 Minute(s),108942,7 Day(s),471,4.46
293,Kertzmann-Rath,1092 Minute(s),101388,3 Day(s),2368,3.2
294,Reinger-Blick,350 Minute(s),122485,7 Day(s),239,3.38
295,O'Conner-Littel,135 Minute(s),157396,4 Day(s),64,4.09
296,"Leuschke, Auer and Wolf",317 Minute(s),162803,7 Day(s),914,3.67
297,"Mann, Bogisich and Schneider",763 Minute(s),42312,5 Day(s),1659,2.76
298,Spencer-Hagenes,818 Minute(s),86714,4 Day(s),2061,3.14
299,Cormier-Erdman,189 Minute(s),151090,7 Day(s),816,4.28
300,"Balistreri, Towne and Windler",122 Minute(s),100602,5 Day(s),420,3.86
301,"Tremblay, Reichert and O'Connell",170 Minute(s),214230,5 Day(s),62,4.9
302,"Heidenreich, Oberbrunner and Wilderman",83 Minute(s),163451,5 Day(s),600,4.32
303,Deckow-Wunsch,232 Minute(s),168146,6 Day(s),1331,3.99
304,Carter Group,160 Minute(s),139997,7 Day(s),418,4.99
305,Adams Inc,70 Minute(s),200049,7 Day(s),660,3.53
306,"Sipes, Schaden and Conn",400 Minute(s),204717,6 Day(s),1228,4.1
307,Strosin-Lakin,120 Minute(s),173192,4 Day(s),1070,3.72
308,Schultz-Lebsack,1356 Minute(s),65818,5 Day(s),2011,2.96
309,Ritchie-Kerluke,44 Minute(s),240885,6 Day(s),294,3.84
310,"Boehm, Heidenreich and Crona",387 Minute(s),155318,5 Day(s),1451,3.49
311,Kertzmann-Mohr,116 Minute(s),262856,6 Day(s),511,3.83
312,"Kuhlman, Osinski and Feest",175 Minute(s),262823,6 Day(s),165,4.01
313,Dickinson-Reichel,578 Minute(s),143243,3 Day(s),1179,4.31
314,Hauck-Crist,1 Minute(s),162008,4 Day(s),715,3.8
315,Schamberger-Cassin,1000 Minute(s),64986,3 Day(s),1626,3.12
316,"Kulas, Hintz and Roob",225 Minute(s),191733,4 Day(s),1165,3.22
317,Steuber-Blanda,1236 Minute(s),63731,3 Day(s),1855,3.62
318,Dach-Gleichner,73 Minute(s),152894,6 Day(s),433,3.71
319,Weber and Sons,3 Minute(s),263971,7 Day(s),611,4.6
320,"Casper, Baumbach and Boehm",539 Minute(s),210297,5 Day(s),1140,3.61
321,Hettinger Group,12 Minute(s),225720,7 Day(s),178,4.91
322,Borer-Heller,152 Minute(s),208091,4 Day(s),420,3.35
323,Crooks-Lubowitz,1331 Minute(s),127649,4 Day(s),2256,2.42
324,"Sauer, Mohr and Hudson",774 Minute(s),52835,4 Day(s),1913,3.44
325,Williamson-Tromp,986 Minute(s),53947,4 Day(s),2069,3.02
326,Paucek-Maggio,158 Minute(s),206667,6 Day(s),136,4.04
327,Purdy-Harvey,205 Minute(s),143528,6 Day(s),1115,4.49
328,Goodwin-Lubowitz,148 Minute(s),126191,6 Day(s),324,4.53
329,Crist LLC,1289 Minute(s),101107,4 Day(s),2615,3.55
330,White LLC,752 Minute(s),71057,5 Day(s),1794,4.38
331,Mante Inc,1440 Minute(s),79155,4 Day(s),2407,3.39
332,McLaughlin Group,1271 Minute(s),54305,2 Day(s),1615,3.18
333,"Flatley, Brown and Bailey",1254 Minute(s),55836,4 Day(s),2042,3.21
334,Hauck-Konopelski,133 Minute(s),197619,7 Day(s),10,4.29
335,"Mante, Anderson and Smitham",174 Minute(s),195965,5 Day(s),125,4.62
336,Langosh and Sons,948 Minute(s),68681,4 Day(s),2032,3.05
337,Parisian-Kreiger,157 Minute(s),208182,7 Day(s),56,3.47
338,Schowalter-Wisozk,965 Minute(s),58841,4 Day(s),1888,3.34
339,Homenick and Sons,809 Minute(s),77972,3 Day(s),1564,4.4
340,Lehner and Sons,1199 Minute(s),46568,4 Day(s),1871,3.23
341,"Beahan, Hartmann and Bartell",10 Minute(s),255225,6 Day(s),221,3.81
342,Hickle LLC,1127 Minute(s),44398,3 Day(s),1897,2.94
343,"Smith, Altenwerth and Hoppe",455 Minute(s),187230,6 Day(s),914,4.65
344,Wunsch-Shanahan,177 Minute(s),217255,6 Day(s),275,4.06
345,"Koepp, Windler and Schoen",268 Minute(s),238746,4 Day(s),303,3.22
346,Shields and Sons,344 Minute(s),58586,7 Day(s),1330,4.2
347,Thompson-Adams,818 Minute(s),100566,5 Day(s),2074,4.46
348,"Mann, Kovacek and Gislason",989 Minute(s),62592,4 Day(s),1688,3.11
349,Johns LLC,608 Minute(s),40823,3 Day(s),1750,3.13
350,Cruickshank-Blanda,1248 Minute(s),85849,3 Day(s),2395,2.23
351,Stehr-Moore,1204 Minute(s),74958,4 Day(s),1502,3.33
352,Greenfelder-Medhurst,1242 Minute(s),82575,5 Day(s),1894,4.35
353,Corwin-Dietrich,975 Minute(s),32428,4 Day(s),1770,4.16
354,Padberg Inc,209 Minute(s),129407,5 Day(s),1353,3.22
355,"Murphy, Torphy and Effertz",692 Minute(s),73365,4 Day(s),2337,2.63
356,Greenholt Group,30 Minute(s),236593,5 Day(s),341,3.7
357,"Carroll, Bruen and Denesik",399 Minute(s),236181,7 Day(s),705,3.39
358,"Collins, Fahey and Nitzsche",59 Minute(s),186368,7 Day(s),233,3.74
359,Hegmann-Hettinger,48 Minute(s),71304,7 Day(s),469,4.75
360,"Leuschke, Huels and Fahey",1340 Minute(s),61835,4 Day(s),1896,2.8
361,Jacobs LLC,239 Minute(s),193301,4 Day(s),1082,3.23
362,Johnson LLC,91 Minute(s),291415,5 Day(s),552,4.26
