id,store_name,average_response_time,successful_transactions,number_of_workday,cancelled_transactions,average_review_score
96,"Nitzsche, Kassulke and Marks",995 Minute(s),34833,2 Day(s),2101,2.83
97,Kozey Inc,157 Minute(s),151618,4 Day(s),188,3.93
98,"Frami, Stanton and Herman",267 Minute(s),178196,5 Day(s),1514,4.63
99,"Halvorson, Ullrich and Blick",593 Minute(s),135938,6 Day(s),1313,3.72
100,"Johnston, McGlynn and Johnston",293 Minute(s),194175,5 Day(s),1154,4.61
101,"Rath, Borer and Kuhn",206 Minute(s),245645,6 Day(s),913,3.96
102,"Dare, Ledner and Hessel",278 Minute(s),217916,7 Day(s),1238,4.22
103,"Barton, Blick and Dach",256 Minute(s),72195,7 Day(s),855,3.48
104,"Flatley, Brown and Bailey",1254 Minute(s),55836,4 Day(s),2042,3.21
105,Metz-Hickle,418 Minute(s),192523,5 Day(s),1332,3.62
106,"Ankunding, Nienow and Dach",58 Minute(s),61205,7 Day(s),1312,4.49
107,"Spinka, Herman and Mraz",178 Minute(s),135989,6 Day(s),1346,3.5
108,"Anderson, Hauck and Schneider",962 Minute(s),49274,5 Day(s),2580,3.06
109,Conn Group,1155 Minute(s),48214,5 Day(s),2059,3.31
110,"Rodriguez, Pouros and Balistreri",60 Minute(s),258012,5 Day(s),133,4.37
111,Crona-Mraz,1102 Minute(s),61461,4 Day(s),1626,3.95
112,"Morissette, Deckow and Tremblay",874 Minute(s),66765,3 Day(s),1844,3.74
113,"O'Connell, McClure and Fisher",996 Minute(s),115256,3 Day(s),2169,4.04
114,Ferry-Lueilwitz,517 Minute(s),210082,6 Day(s),1253,3.14
115,Kozey-Yost,201 Minute(s),229905,6 Day(s),1027,4.4
116,"Feeney, Berge and Powlowski",528 Minute(s),165652,7 Day(s),1221,4.43
117,Bailey Group,966 Minute(s),53207,3 Day(s),1858,2.81
118,Tillman Group,184 Minute(s),140732,4 Day(s),1301,4.14
119,Graham Group,35 Minute(s),203618,5 Day(s),322,4.86
120,Klein and Sons,416 Minute(s),190630,5 Day(s),1203,3.48
121,"McLaughlin, Wyman and Prohaska",647 Minute(s),67565,5 Day(s),1838,3.04
122,Hilll Group,1386 Minute(s),30331,5 Day(s),1510,3.72
123,Rutherford Group,422 Minute(s),161042,4 Day(s),900,3.61
124,"Swaniawski, Larkin and Ankunding",1273 Minute(s),55280,5 Day(s),2132,4.09
125,Turcotte Inc,167 Minute(s),237511,7 Day(s),639,3.8
126,"Lakin, Ziemann and Wisoky",216 Minute(s),155875,7 Day(s),1265,3.39
127,"Rath, Crist and Bosco",165 Minute(s),124951,5 Day(s),400,3.95
128,"Ortiz, Monahan and Wolff",118 Minute(s),236184,6 Day(s),422,3.27
129,Rogahn Inc,48 Minute(s),197402,5 Day(s),1275,4.63
130,Gaylord-Rogahn,363 Minute(s),205246,6 Day(s),1284,4.14
131,Bins Group,323 Minute(s),174408,5 Day(s),1204,3.37
132,Ratke LLC,235 Minute(s),74808,5 Day(s),903,3.65
133,Kovacek-Jenkins,1258 Minute(s),30527,3 Day(s),1639,3.11
134,"Collins, Bahringer and Christiansen",364 Minute(s),244378,7 Day(s),544,4.95
135,Hammes Inc,850 Minute(s),48414,3 Day(s),1948,3.5
136,Kshlerin LLC,1340 Minute(s),58827,6 Day(s),1808,3.51
137,"Rowe, Jakubowski and Bartoletti",110 Minute(s),193314,5 Day(s),132,3.52
138,Powlowski Group,376 Minute(s),165442,4 Day(s),1329,4.09
139,Wiegand-Littel,326 Minute(s),218353,5 Day(s),1251,4.54
140,"Lind, Kunde and Gulgowski",1293 Minute(s),69276,6 Day(s),1955,3.92
141,Gerhold-Pollich,1366 Minute(s),119794,5 Day(s),2387,2.52
142,Hansen and Sons,319 Minute(s),69530,6 Day(s),952,4.09
143,Weber-Dibbert,479 Minute(s),208479,6 Day(s),1364,4.42
144,Herzog LLC,108 Minute(s),94495,5 Day(s),19,4.53
145,"Ledner, Muller and Bauch",37 Minute(s),278308,7 Day(s),171,4.01
146,"Grimes, Wehner and Weissnat",1111 Minute(s),31119,2 Day(s),1962,3.4
147,"Jacobi, Lang and Watsica",151 Minute(s),249382,3 Day(s),2365,3.07
148,Hyatt-Strosin,1223 Minute(s),68545,4 Day(s),2582,3.94
149,"Hirthe, Hills and Barrows",1049 Minute(s),104654,4 Day(s),2285,3.08
150,Bogisich and Sons,920 Minute(s),83673,3 Day(s),1892,3.07
151,Kemmer-Kihn,1282 Minute(s),51080,3 Day(s),1600,3.36
152,"Cremin, Ortiz and Vandervort",287 Minute(s),214029,4 Day(s),1152,3.39
153,Halvorson-Thompson,82 Minute(s),127254,6 Day(s),290,4.48
154,"Reichel, Marks and Erdman",1130 Minute(s),61623,2 Day(s),2002,3.1
155,Murphy-Crona,1007 Minute(s),87744,4 Day(s),1745,3.31
156,West Inc,150 Minute(s),121578,7 Day(s),345,4.3
157,"Reichert, Roberts and Beahan",581 Minute(s),35175,3 Day(s),2003,2.87
158,Reilly Group,464 Minute(s),204682,5 Day(s),1112,4.4
159,Lemke-Lesch,178 Minute(s),181067,5 Day(s),1577,3.88
160,Lehner-Pouros,1156 Minute(s),84743,4 Day(s),2028,2.86
161,Wuckert Inc,173 Minute(s),75776,6 Day(s),168,4.12
162,"Runolfsdottir, Emmerich and Skiles",180 Minute(s),240222,3 Day(s),499,2.34
163,Konopelski-Auer,982 Minute(s),50099,4 Day(s),1704,2.94
164,"Mitchell, Simonis and Kirlin",1103 Minute(s),108855,6 Day(s),2121,4.42
165,"Spinka, Hayes and Langosh",563 Minute(s),216092,3 Day(s),980,4.14
166,Will-Douglas,543 Minute(s),208065,6 Day(s),1202,3.52
167,Pagac-Predovic,80 Minute(s),162719,6 Day(s),764,4.29
168,Bartell Group,535 Minute(s),152912,5 Day(s),1265,4.34
169,Treutel and Sons,152 Minute(s),178313,5 Day(s),743,4.74
170,Kunde Group,816 Minute(s),33523,5 Day(s),1901,2.86
171,Stamm-Kiehn,176 Minute(s),253568,3 Day(s),342,2.58
172,Schamberger-Cassin,1000 Minute(s),64986,3 Day(s),1626,3.12
173,Bosco Inc,168 Minute(s),158674,4 Day(s),1570,3.56
174,Ondricka and Sons,889 Minute(s),67365,3 Day(s),1629,3.36
175,Krajcik LLC,111 Minute(s),95781,6 Day(s),502,3.64
176,Johnson LLC,91 Minute(s),291415,5 Day(s),552,4.26
177,"Ankunding, Moen and Sanford",164 Minute(s),267371,5 Day(s),38,4.71
178,"Thompson, Schaefer and Runte",544 Minute(s),197017,7 Day(s),1155,3.98
179,"Thompson, Frami and Herman",1233 Minute(s),115889,4 Day(s),2473,3.22
180,Padberg-Schamberger,260 Minute(s),217155,3 Day(s),1136,4.66
181,"Langosh, Fay and Balistreri",352 Minute(s),183975,3 Day(s),1070,3.89
182,"Hegmann, Parisian and Predovic",48 Minute(s),255406,6 Day(s),432,4.61
183,Cole-Franecki,225 Minute(s),152857,6 Day(s),1375,3.82
184,"Stracke, King and Hauck",911 Minute(s),90230,3 Day(s),1820,3.54
185,Labadie LLC,948 Minute(s),119572,3 Day(s),2416,3.31
186,"Becker, Koepp and Quigley",57 Minute(s),204609,6 Day(s),431,4.07
187,Bednar Group,937 Minute(s),55322,4 Day(s),2039,4.21
188,Kreiger-Romaguera,300 Minute(s),181376,5 Day(s),1233,3.65
189,Casper Group,13 Minute(s),298709,3 Day(s),2732,2.8
190,Feest-Maggio,221 Minute(s),165039,4 Day(s),1113,4.74
191,McClure and Sons,1357 Minute(s),106891,4 Day(s),2479,2.67
192,"O'Conner, Huel and Schmitt",160 Minute(s),173227,3 Day(s),1180,4.68
193,Sauer LLC,315 Minute(s),101072,7 Day(s),187,4.79
194,"Greenfelder, Nikolaus and Murphy",26 Minute(s),273355,5 Day(s),118,3.55
195,"Predovic, Huel and Jacobson",383 Minute(s),181413,3 Day(s),1229,4.25
196,Aufderhar and Sons,163 Minute(s),233686,3 Day(s),562,2.24
197,Robel-Lehner,438 Minute(s),158909,6 Day(s),1204,3.26
198,Strosin and Sons,510 Minute(s),51625,4 Day(s),2570,3.38
199,Weimann-Connelly,1056 Minute(s),98234,4 Day(s),1660,4.14
200,"Orn, Pollich and Beer",469 Minute(s),201971,6 Day(s),1150,4.5
201,McLaughlin LLC,45 Minute(s),194366,7 Day(s),51,3.32
202,Mohr and Sons,430 Minute(s),215308,6 Day(s),1180,3.14
203,Krajcik-Batz,45 Minute(s),83799,7 Day(s),531,4.55
204,Friesen-Reynolds,550 Minute(s),64267,5 Day(s),1691,3.19
205,Schimmel LLC,129 Minute(s),203327,4 Day(s),506,4.47
206,"Powlowski, Bosco and Thompson",102 Minute(s),50547,4 Day(s),399,3.53
207,Crist Inc,180 Minute(s),279659,6 Day(s),592,4.38
208,Welch Group,180 Minute(s),216691,6 Day(s),1107,4.45
209,"Turcotte, Mayer and Nitzsche",1217 Minute(s),101237,3 Day(s),2033,4.16
210,Pollich-Anderson,325 Minute(s),136685,5 Day(s),1455,4.67
211,Altenwerth-Dickinson,127 Minute(s),274370,7 Day(s),37,4.99
212,Schowalter-Gulgowski,292 Minute(s),135307,5 Day(s),1152,4.42
213,Hayes Inc,191 Minute(s),72556,7 Day(s),353,4.25
214,Klein-Krajcik,67 Minute(s),167781,4 Day(s),311,3.77
215,Sipes-Leuschke,172 Minute(s),190799,4 Day(s),206,3.86
216,"Lehner, Hodkiewicz and Mann",27 Minute(s),120418,6 Day(s),256,4.52
217,Jacobi-Green,206 Minute(s),165733,4 Day(s),1123,4.25
218,"Crist, Pouros and Zieme",186 Minute(s),159175,5 Day(s),1503,3.57
219,"Keebler, Little and Homenick",790 Minute(s),97629,5 Day(s),2091,3.98
220,Shanahan Group,1192 Minute(s),62464,4 Day(s),2180,3.71
221,Gerlach-Jacobi,1122 Minute(s),109454,5 Day(s),1609,4.31
222,Jast-Stracke,124 Minute(s),243406,6 Day(s),279,4.97
223,Lockman Inc,515 Minute(s),180952,7 Day(s),1249,4.3
224,"Ortiz, Collier and Friesen",345 Minute(s),134961,3 Day(s),1188,4.61
225,"Kuphal, Adams and Wiza",1272 Minute(s),84608,5 Day(s),1714,2.76
226,"Wolff, Mante and Reilly",1146 Minute(s),122915,3 Day(s),2552,3.58
227,"Turcotte, Block and Cruickshank",203 Minute(s),73410,6 Day(s),437,4.72
228,Pfeffer LLC,987 Minute(s),97809,5 Day(s),1808,2.78
229,"Schumm, Runolfsson and Morar",401 Minute(s),198344,7 Day(s),1240,4.36
230,Walsh LLC,430 Minute(s),133872,4 Day(s),1348,4.06
231,Howe-Zieme,15 Minute(s),131399,4 Day(s),624,4.77
232,"Schneider, Deckow and Kemmer",362 Minute(s),211886,4 Day(s),1049,3.75
233,Howe LLC,69 Minute(s),256382,3 Day(s),112,2.47
234,Sipes-Towne,33 Minute(s),247118,5 Day(s),297,3.77
235,Kuhlman-Carter,170 Minute(s),191458,7 Day(s),129,3.29
236,"Luettgen, Hauck and Armstrong",1140 Minute(s),113613,4 Day(s),2598,2.93
237,Metz-O'Keefe,167 Minute(s),219167,5 Day(s),1212,3.64
238,Ryan LLC,137 Minute(s),100252,6 Day(s),491,4.09
239,"Huel, Hills and Beier",223 Minute(s),159742,6 Day(s),1282,3.67
240,"Ratke, Ernser and Brakus",269 Minute(s),142139,3 Day(s),1149,4.61
241,"Morissette, Hoeger and Senger",1315 Minute(s),65699,5 Day(s),1909,2.91
242,Labadie-O'Keefe,264 Minute(s),200699,6 Day(s),1364,3.6
243,Sipes Group,578 Minute(s),109828,4 Day(s),1840,3.8
244,Johnson-Weissnat,540 Minute(s),200621,3 Day(s),1225,4.03
245,Strosin-Rippin,1028 Minute(s),112895,6 Day(s),2200,4.27
246,"Bogisich, Howell and Grady",398 Minute(s),135319,6 Day(s),1008,4.55
247,"Reynolds, Schamberger and Brekke",84 Minute(s),192235,7 Day(s),429,4.53
248,Ankunding-Block,37 Minute(s),268403,3 Day(s),2599,2.57
249,Lynch Inc,1202 Minute(s),78038,3 Day(s),1961,2.75
250,Smith Group,176 Minute(s),165455,3 Day(s),1212,4.12
251,Zieme Group,677 Minute(s),85178,4 Day(s),2408,3.5
252,Balistreri Group,306 Minute(s),190809,4 Day(s),1127,4.11
253,Cruickshank-Osinski,1221 Minute(s),106691,4 Day(s),2365,3.2
254,O'Connell-Grimes,495 Minute(s),106020,4 Day(s),476,3.97
255,Dare-Russel,543 Minute(s),64123,2 Day(s),2328,3.17
256,Bernhard Inc,1154 Minute(s),123466,2 Day(s),2499,3.38
257,"Nolan, Schaden and Stokes",140 Minute(s),284585,6 Day(s),164,3.61
258,"Hayes, Kertzmann and Bergnaum",428 Minute(s),124295,4 Day(s),1391,3.86
259,"Tremblay, Kessler and Larson",52 Minute(s),259553,5 Day(s),654,3.96
260,"Kunde, Hahn and Erdman",83 Minute(s),53842,4 Day(s),1141,3.62
261,"Donnelly, Parker and Fadel",1163 Minute(s),99740,4 Day(s),1687,3.25
262,"Bosco, Macejkovic and Anderson",146 Minute(s),228283,4 Day(s),399,3.05
263,Walsh-Zieme,61 Minute(s),91462,6 Day(s),527,4.06
264,Welch-Wuckert,38 Minute(s),193508,4 Day(s),569,4.38
265,Pacocha-Boehm,201 Minute(s),179578,7 Day(s),1109,3.65
266,Beahan-Buckridge,497 Minute(s),125050,5 Day(s),582,3.82
267,Donnelly-Russel,100 Minute(s),204263,7 Day(s),586,4.02
268,"Will, Schimmel and Yost",236 Minute(s),186118,6 Day(s),1165,3.89
269,Rath Inc,1206 Minute(s),58632,5 Day(s),1795,3.17
270,Herman Inc,44 Minute(s),233823,7 Day(s),1318,4.74
271,"Lueilwitz, Upton and Kshlerin",130 Minute(s),78657,7 Day(s),516,4.41
272,Carroll-Braun,293 Minute(s),211471,4 Day(s),1093,3.99
273,Nienow-Champlin,74 Minute(s),258799,7 Day(s),118,4.23
274,Grimes-Weber,1253 Minute(s),125222,3 Day(s),2266,2.64
275,Haag Group,230 Minute(s),225865,5 Day(s),1359,4.09
276,Goyette Inc,26 Minute(s),213895,7 Day(s),614,4.35
277,Mosciski Group,205 Minute(s),141592,4 Day(s),1367,4.4
278,Wiza Inc,956 Minute(s),111241,6 Day(s),1545,3.59
279,Brakus and Sons,621 Minute(s),41723,2 Day(s),2594,4.13
280,Thompson-Volkman,447 Minute(s),229124,7 Day(s),1219,3.23
281,Jaskolski-Batz,964 Minute(s),99820,5 Day(s),2529,3.25
282,Hermann-Fahey,450 Minute(s),169857,5 Day(s),1313,3.98
283,"Osinski, Bode and Barton",64 Minute(s),255464,4 Day(s),203,2.49
284,Schaden LLC,152 Minute(s),193959,6 Day(s),542,4.68
285,Jones-Bode,1167 Minute(s),107842,4 Day(s),1786,3.83
286,"Schoen, Marquardt and Johns",14 Minute(s),100519,6 Day(s),297,4.95
287,"Hayes, Tromp and Mueller",211 Minute(s),105097,4 Day(s),1084,4.82
288,Ruecker Group,136 Minute(s),296129,6 Day(s),18,4.74
289,Hauck Group,911 Minute(s),107694,3 Day(s),1574,4.2
290,Luettgen-Sanford,30 Minute(s),298218,3 Day(s),134,2.26
291,Herman Group,107 Minute(s),231657,7 Day(s),786,3.92
292,Wisozk-Kohler,56 Minute(s),196708,4 Day(s),399,4.52
293,"Langosh, Huel and Jenkins",335 Minute(s),198531,6 Day(s),684,4.31
294,Rempel-Collier,1382 Minute(s),84063,3 Day(s),1757,3.43
295,Schneider and Sons,263 Minute(s),199236,5 Day(s),1483,3.85
296,Smith and Sons,1358 Minute(s),72051,5 Day(s),2049,3.33
297,Hand-Beatty,406 Minute(s),177591,5 Day(s),1389,3.99
298,Kunde Group,344 Minute(s),224132,6 Day(s),1458,3.49
299,Rolfson-Hessel,471 Minute(s),229290,5 Day(s),1099,3.43
300,Cruickshank-Blanda,1248 Minute(s),85849,3 Day(s),2395,2.23
301,Crooks-Kutch,171 Minute(s),292199,7 Day(s),215,4.34
302,Nader-Kihn,583 Minute(s),36481,5 Day(s),2093,3.1
303,Schulist and Sons,1367 Minute(s),36858,2 Day(s),1935,2.85
304,Parisian-Schneider,658 Minute(s),46824,3 Day(s),1713,3.39
305,"Stracke, O'Conner and Ortiz",108 Minute(s),100088,5 Day(s),1341,4.74
306,Fadel Inc,39 Minute(s),271361,6 Day(s),81,4.58
307,Sipes-Heaney,331 Minute(s),114512,4 Day(s),788,3.63
308,Sawayn and Sons,253 Minute(s),211618,7 Day(s),152,3.97
309,"Hodkiewicz, Legros and West",157 Minute(s),275862,4 Day(s),283,3.02
310,"Collier, Thiel and Nicolas",11 Minute(s),122829,4 Day(s),745,3.38
311,"Schinner, Moore and Cruickshank",699 Minute(s),79384,5 Day(s),1579,3.84
312,Gaylord and Sons,861 Minute(s),42959,5 Day(s),2296,2.96
313,Boyer Group,1203 Minute(s),87526,5 Day(s),1727,3.22
314,Bartell and Sons,119 Minute(s),285679,6 Day(s),507,4.44
315,Greenfelder LLC,103 Minute(s),128407,4 Day(s),173,4.04
316,"Tromp, Kessler and Halvorson",473 Minute(s),177534,7 Day(s),41,3.46
317,"Kling, Fadel and Greenfelder",1403 Minute(s),97359,4 Day(s),1823,3.3
318,Borer Inc,429 Minute(s),159315,4 Day(s),1596,3.51
319,Morar Group,149 Minute(s),236159,7 Day(s),455,3.79
320,"Lakin, Mraz and Weissnat",1005 Minute(s),66519,2 Day(s),2161,4.15
321,Hayes and Sons,175 Minute(s),64915,4 Day(s),536,3.76
322,Koss-Rice,1406 Minute(s),59729,4 Day(s),1594,4.15
323,Renner LLC,369 Minute(s),134749,6 Day(s),1016,4.91
324,Sauer-Gottlieb,1132 Minute(s),84452,4 Day(s),2161,4.38
325,Maggio-Jacobs,819 Minute(s),102240,5 Day(s),2468,2.88
326,Gutkowski-Mraz,543 Minute(s),170852,5 Day(s),1262,3.54
327,Schmeler Group,1184 Minute(s),31511,4 Day(s),2196,4.19
328,"Hamill, Hyatt and Willms",619 Minute(s),43375,4 Day(s),1681,3.24
329,Douglas-Shanahan,352 Minute(s),150082,5 Day(s),1330,3.63
330,Cummings-Miller,556 Minute(s),179683,5 Day(s),1255,3.43
331,"Huels, Mertz and Nolan",546 Minute(s),196408,7 Day(s),1312,3.25
332,"Grimes, Wiza and Hudson",535 Minute(s),178228,7 Day(s),1161,4.41
333,Abernathy-Kozey,58 Minute(s),246244,7 Day(s),201,4.18
334,Douglas Group,800 Minute(s),89487,4 Day(s),2515,2.54
335,Friesen Inc,353 Minute(s),138479,4 Day(s),1365,4.28
336,"Hauck, Walker and Schimmel",18 Minute(s),102255,5 Day(s),524,4.02
337,"Schimmel, Ziemann and Feest",398 Minute(s),232575,7 Day(s),1307,4.83
338,Homenick and Sons,53 Minute(s),269515,6 Day(s),517,4.22
339,Cremin-Kulas,125 Minute(s),91641,4 Day(s),245,4.16
340,"Leannon, Rodriguez and Wyman",166 Minute(s),279048,6 Day(s),108,3.6
341,"Turcotte, Lebsack and Brown",728 Minute(s),90751,4 Day(s),2814,2.44
342,VonRueden LLC,89 Minute(s),124038,6 Day(s),607,4.05
343,"Fisher, Aufderhar and Christiansen",174 Minute(s),129382,5 Day(s),222,3.66
344,"Stamm, Hilll and Bahringer",603 Minute(s),30894,5 Day(s),2075,2.92
345,"Volkman, Lynch and Wintheiser",1430 Minute(s),60227,5 Day(s),1847,3.56
346,Krajcik-Kunde,859 Minute(s),68850,3 Day(s),1830,3.66
347,Bergnaum-Weber,25 Minute(s),282330,7 Day(s),195,4.88
348,Feil-Jones,736 Minute(s),54068,4 Day(s),1963,2.86
349,Beier-Crist,256 Minute(s),149404,6 Day(s),1476,4.21
350,"Ryan, Cormier and Dach",750 Minute(s),95906,4 Day(s),2120,4.35
351,"Hartmann, Strosin and Beahan",107 Minute(s),112079,7 Day(s),731,4.63
352,"Beatty, Hane and Kessler",125 Minute(s),288753,6 Day(s),277,4.52
353,Rohan-Rosenbaum,18 Minute(s),83179,7 Day(s),55,4.85
354,"Erdman, Upton and Rodriguez",191 Minute(s),97421,6 Day(s),54,4.51
355,Effertz-Barrows,114 Minute(s),111574,7 Day(s),482,4.75
356,Witting LLC,378 Minute(s),149345,4 Day(s),1050,4.69
357,Waelchi LLC,333 Minute(s),137944,3 Day(s),1228,4.54
358,"Sanford, Zulauf and Abshire",248 Minute(s),135356,3 Day(s),1473,4.18
359,Morissette-Ratke,204 Minute(s),102203,4 Day(s),1337,4.92
360,Grant LLC,313 Minute(s),156129,7 Day(s),1386,3.1
361,Lesch LLC,1076 Minute(s),45250,5 Day(s),1616,3.84
